word,pos,cefr_level_avg,cefr_level
cost,VERB,3,B
cottage,NOUN,2,A
cotton,NOUN,3,B
could,VERB,1,A
council,NOUN,3,B
count,VERB,3,B
counter,NOUN,3,B
counterpart,NOUN,3,B
country,NOUN,1,A
countryside,NOUN,2,A
county,NOUN,3,B
coup,NOUN,3,B
couple,NOUN,1,A
courage,NOUN,3,B
course,NOUN,1,A
court,NOUN,2,A
cousin,NOUN,2,A
cover,NOUN,2,A
cover,VERB,2,A
coverage,NOUN,3,B
cow,NOUN,2,A
crack,NOUN,2,A
crack,VERB,4,B
craft,NOUN,2,A
crash,NOUN,3,B
crash,VERB,4,B
crawl,NOUN,4,B
crazy,ADJ,3,B
cream,NOUN,2,A
create,VERB,2,A
creation,NOUN,2,A
creative,ADJ,2,A
creature,NOUN,3,B
credit,NOUN,2,A
creep,VERB,4,B
crew,NOUN,3,B
cricket,NOUN,4,B
crime,NOUN,2,A
criminal,ADJ,2,A
criminal,NOUN,4,B
crisis,NOUN,2,A
crisp,NOUN,4,B
criterion,NOUN,3,B
critic,NOUN,3,B
critical,ADJ,2,A
criticise,VERB,4,B
criticism,NOUN,2,A
criticize,VERB,4,B
crop,NOUN,3,B
crop,VERB,4,B
cross,NOUN,2,A
cross,VERB,3,B
crowd,NOUN,1,A
crucial,ADJ,2,A
cry,NOUN,2,A
cry,VERB,2,A
crystal,NOUN,4,B
cultural,ADJ,2,A
culture,NOUN,2,A
cup,NOUN,1,A
cup,VERB,4,B
cupboard,NOUN,4,B
curious,ADJ,3,B
curiously,ADV,3,B
currency,NOUN,3,B
current,ADJ,2,A
current,NOUN,3,B
currently,ADV,3,B
curriculum,NOUN,3,B
curry,NOUN,4,B
curtain,NOUN,2,A
curve,NOUN,2,A
custody,NOUN,3,B
custom,NOUN,3,B
customer,NOUN,2,A
cut,NOUN,3,B
cut,VERB,1,A
cycle,NOUN,2,A
dad,NOUN,2,A
daily,ADJ,2,A
daily,ADV,2,A
damage,NOUN,2,A
damage,VERB,4,B
damp,ADJ,3,B
damp,VERB,4,B
dance,NOUN,3,B
dance,VERB,3,B
dancer,NOUN,3,B
danger,NOUN,2,A
dangerous,ADJ,1,A
dangerously,ADV,3,B
dark,ADJ,1,A
dark,NOUN,3,B
darkness,NOUN,2,A
darling,NOUN,2,A
data,NOUN,2,A
database,NOUN,2,A
date,NOUN,2,A
date,VERB,3,B
daughter,NOUN,1,A
dawn,NOUN,2,A
day,NOUN,1,A
dazzle,VERB,5,C
dead,ADJ,2,A
deadly,ADJ,3,B
deaf,ADJ,3,B
deal,NOUN,2,A
deal,VERB,2,A
dealer,NOUN,3,B
dear,ADJ,2,A
dear,NOUN,2,A
death,NOUN,1,A
debate,NOUN,2,A
debt,NOUN,2,A
debut,NOUN,4,B
decade,NOUN,3,B
decent,ADJ,3,B
decide,VERB,2,A
decision,NOUN,2,A
deck,NOUN,3,B
declaration,NOUN,3,B
declare,VERB,3,B
decline,NOUN,3,B
decline,VERB,4,B
decorate,VERB,4,B
decorative,ADJ,4,B
decrease,VERB,3,B
deem,VERB,4,B
deep,ADJ,2,A
deep,ADV,3,B
deeply,ADV,2,A
defeat,NOUN,2,A
defeat,VERB,4,B
defect,NOUN,3,B
defence,NOUN,3,B
defend,VERB,3,B
defender,NOUN,4,B
deficit,NOUN,3,B
define,VERB,2,A
definite,ADJ,3,B
definitely,ADV,3,B
definition,NOUN,2,A
degree,NOUN,2,A
delay,NOUN,3,B
delay,VERB,4,B
delegate,NOUN,4,B
delegation,NOUN,3,B
deliberately,ADV,3,B
delicate,ADJ,3,B
delight,NOUN,2,A
delighted,ADJ,4,B
deliver,VERB,2,A
delivery,NOUN,2,A
demand,NOUN,2,A
demand,VERB,3,B
democracy,NOUN,2,A
democratic,ADJ,2,A
demonstrate,VERB,2,A
demonstration,NOUN,3,B
denim,NOUN,4,B
density,NOUN,2,A
deny,VERB,3,B
department,NOUN,2,A
departure,NOUN,3,B
dependent,ADJ,2,A
depict,VERB,4,B
deposit,NOUN,2,A
depressed,ADJ,4,B
depression,NOUN,2,A
depth,NOUN,2,A
deputy,NOUN,3,B
descend,VERB,4,B
describe,VERB,2,A
description,NOUN,1,A
desert,NOUN,2,A
deserve,VERB,3,B
design,NOUN,2,A
design,VERB,3,B
designer,NOUN,2,A
desirable,ADJ,3,B
desire,NOUN,2,A
desire,VERB,4,B
desk,NOUN,1,A
desktop,NOUN,2,A
desperate,ADJ,3,B
desperately,ADV,4,B
despite,ADP,1,A
destination,NOUN,3,B
destroy,VERB,3,B
destruction,NOUN,2,A
detail,NOUN,2,A
detailed,ADJ,3,B
detect,VERB,3,B
determination,NOUN,2,A
determine,VERB,2,A
determined,ADJ,4,B
develop,VERB,2,A
developed,ADJ,3,B
