word,pos,cefr_level_avg,cefr_level
cost,VERB,2,A
cottage,NOUN,2,A
cotton,NOUN,3,B
could,VERB,1,A
council,NOUN,3,B
count,VERB,1,A
counter,NOUN,4,B
counterpart,NOUN,4,B
country,NOUN,1,A
countryside,NOUN,2,A
county,NOUN,2,A
coup,NOUN,4,B
couple,NOUN,2,A
courage,NOUN,3,B
course,NOUN,3,B
court,NOUN,3,B
cousin,NOUN,1,A
cover,NOUN,3,B
cover,VERB,2,A
coverage,NOUN,4,B
cow,NOUN,1,A
crack,NOUN,1,A
crack,VERB,4,B
craft,NOUN,3,B
crash,NOUN,3,B
crash,VERB,3,B
crawl,NOUN,5,C
crazy,ADJ,2,A
cream,NOUN,2,A
create,VERB,2,A
creation,NOUN,3,B
creative,ADJ,2,A
creature,NOUN,4,B
credit,NOUN,3,B
creep,VERB,3,B
crew,NOUN,3,B
cricket,NOUN,4,B
crime,NOUN,2,A
criminal,ADJ,3,B
criminal,NOUN,3,B
crisis,NOUN,3,B
crisp,NOUN,3,B
criterion,NOUN,4,B
critic,NOUN,4,B
critical,ADJ,4,B
criticise,VERB,3,B
criticism,NOUN,4,B
criticize,VERB,4,B
crop,NOUN,3,B
crop,VERB,2,A
cross,NOUN,3,B
cross,VERB,2,A
crowd,NOUN,2,A
crucial,ADJ,3,B
cry,NOUN,1,A
cry,VERB,2,A
crystal,NOUN,2,A
cultural,ADJ,2,A
culture,NOUN,2,A
cup,NOUN,1,A
cup,VERB,2,A
cupboard,NOUN,2,A
curious,ADJ,3,B
curiously,ADV,4,B
currency,NOUN,3,B
current,ADJ,3,B
current,NOUN,3,B
currently,ADV,3,B
curriculum,NOUN,3,B
curry,NOUN,2,A
curtain,NOUN,1,A
curve,NOUN,3,B
custody,NOUN,5,C
custom,NOUN,3,B
customer,NOUN,2,A
cut,NOUN,3,B
cut,VERB,1,A
cycle,NOUN,2,A
dad,NOUN,1,A
daily,ADJ,2,A
daily,ADV,1,A
damage,NOUN,3,B
damage,VERB,3,B
damp,ADJ,3,B
