word,pos,cefr_int,cefr,ngram_2013,ngram_2014,ngram_2015,ngram_2016,ngram_2017,ngram_2018,ngram_2019
blister,NOUN,6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case,NOUN,6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breath,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
care,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cholesterol,NOUN,5,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aspirin,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backache,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bandage,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bone,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beat,VERB,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bleed,VERB,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ache,VERB,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catch,VERB,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burn,VERB,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bump,VERB,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carry,VERB,5,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,VERB,6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathe,VERB,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coat,NOUN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
belt,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boot,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bracelet,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
button,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
badge,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bikini,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bra,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cardigan,NOUN,4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
answer,NOUN,1,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
card,NOUN,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accent,NOUN,3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
