word,pos,cefr_int,cefr
aggressive,ADJ,4,B
assertive,ADJ,6,C
careless,ADJ,3,B
actually,ADV,2,A
badly,ADV,2,A
certainly,ADV,2,A
clearly,ADV,2,A
absolutely,ADV,3,B
admittedly,ADV,4,B
alternatively,ADV,4,B
apparently,ADV,4,B
basically,ADV,5,C
approximately,ADV,3,B
adequately,ADV,4,B
barely,ADV,4,B
brightly,ADV,4,B
beautifully,ADV,3,B
amazingly,ADV,3,B
angrily,ADV,3,B
bravely,ADV,3,B
aggressively,ADV,4,B
anxiously,ADV,4,B
boldly,ADV,4,B
brilliantly,ADV,4,B
calmly,ADV,4,B
carelessly,ADV,4,B
cheerfully,ADV,4,B
closely,ADV,4,B
automatically,ADV,4,B
anxious,ADJ,3,B
adventurous,ADJ,4,B
ambitious,ADJ,4,B
cautious,ADJ,4,B
bloody,ADJ,4,B
chatty,ADJ,5,C
bulky,ADJ,5,C
cloudy,ADJ,2,A
alcoholic,ADJ,3,B
biological,ADJ,4,B
abstract,ADJ,4,B
audience,NOUN,3,B
cast,NOUN,4,B
choir,NOUN,4,B
alright,ADJ,2,A
alive,ADJ,3,B
asleep,ADJ,3,B
awake,ADJ,3,B
blind,ADJ,3,B
bump,NOUN,5,C
casual,ADJ,3,B
brief,ADJ,3,B
absolute,ADJ,4,B
clichéd,ADJ,6,C
coherent,ADJ,6,C
anyway,ADV,2,A
back,ADV,2,A
besides,ADV,3,B
anyhow,ADV,4,B
ban,VERB,4,B
bad,ADJ,1,A
best,ADJ,1,A
black,ADJ,1,A
brown,ADJ,1,A
clean,ADJ,1,A
close,ADJ,1,A
back,ADJ,2,A
bright,ADJ,2,A
brilliant,ADJ,2,A
broken,ADJ,2,A
clear,ADJ,2,A
accurate,ADJ,3,B
ancient,ADJ,3,B
antique,ADJ,3,B
average,ADJ,3,B
awful,ADJ,3,B
blank,ADJ,3,B
bold,ADJ,3,B
broad,ADJ,3,B
clever,ADJ,3,B
absurd,ADJ,4,B
adequate,ADJ,4,B
appropriate,ADJ,4,B
approximate,ADJ,4,B
bare,ADJ,4,B
bizarre,ADJ,4,B
breathtaking,ADJ,4,B
circular,ADJ,4,B
abnormal,ADJ,5,C
bland,ADJ,6,C
bleak,ADJ,6,C
above,ADV,1,A
below,ADV,1,A
across,ADV,2,A
anywhere,ADV,2,A
around,ADV,2,A
away,ADV,2,A
apart,ADV,3,B
behind,ADV,3,B
alongside,ADV,5,C
beyond,ADV,5,C
be,VERB,1,A
bitter,ADJ,3,B
budget,ADJ,4,B
affluent,ADJ,5,C
bankrupt,ADJ,5,C
award,VERB,4,B
bid,VERB,6,C
calm,ADJ,3,B
arid,ADJ,6,C
bronze,NOUN,6,C
choice,NOUN,3,B
aged,ADJ,2,A
blonde,ADJ,2,A
awkward,ADJ,6,C
afraid,ADJ,2,A
angry,ADJ,2,A
brave,ADJ,3,B
certain,ADJ,3,B
cold,ADJ,3,B
aware,ADJ,4,B
clumsy,ADJ,4,B
alert,ADJ,5,C
anti-social,ADJ,5,C
able,ADJ,6,C
abrupt,ADJ,6,C
affectionate,ADJ,6,C
blunt,ADJ,6,C
boost,NOUN,4,B
club,NOUN,3,B
bound,ADJ,5,C
abroad,ADV,3,B
aboard,ADV,5,C
busy,ADJ,2,A
chief,ADJ,4,B
breakable,ADJ,4,B
affordable,ADJ,5,C
changeable,ADJ,5,C
accountable,ADJ,6,C
attainable,ADJ,6,C
annual,ADJ,3,B
central,ADJ,3,B
accidental,ADJ,4,B
analytical,ADJ,5,C
bilingual,ADJ,5,C
brutal,ADJ,5,C
classical,ADJ,6,C
abandoned,ADJ,4,B
armed,ADJ,4,B
balanced,ADJ,4,B
accepted,ADJ,5,C
acclaimed,ADJ,5,C
alleged,ADJ,5,C
biased,ADJ,5,C
allied,ADJ,6,C
broadminded,ADJ,6,C
better,ADV,2,A
accessible,ADJ,4,B
athletic,ADJ,4,B
chaotic,ADJ,5,C
characteristic,ADJ,6,C
burning,ADJ,3,B
challenging,ADJ,3,B
alarming,ADJ,5,C
beginning,NOUN,2,A
aspiration,NOUN,6,C
alternative,ADJ,4,B
addictive,ADJ,5,C
administrative,ADJ,5,C
abusive,ADJ,6,C
carefully,ADV,2,A
accurately,ADV,3,B
briefly,ADV,3,B
accidentally,ADV,4,B
actively,ADV,4,B
additionally,ADV,4,B
annually,ADV,4,B
appropriately,ADV,4,B
artificially,ADV,4,B
casually,ADV,4,B
broadly,ADV,5,C
anchor,VERB,6,C
ambiguous,ADJ,6,C
analogous,ADJ,6,C
anonymous,ADJ,6,C
bossy,ADJ,4,B
cheeky,ADJ,4,B
chilly,ADJ,5,C
cheap,ADJ,1,A
adult,ADJ,2,A
alone,ADJ,2,A
absent,ADJ,3,B
alike,ADJ,3,B
bald,ADJ,3,B
actual,ADJ,4,B
apparent,ADJ,4,B
amateur,ADJ,5,C
ample,ADJ,5,C
civil,ADJ,5,C
ahead,ADJ,6,C
arbitrary,ADJ,6,C
backward,ADJ,6,C
bronze,ADJ,6,C
carefree,ADJ,6,C
about,ADV,1,A
again,ADV,1,A
also,ADV,1,A
always,ADV,1,A
a.m.,ADV,1,A
best,ADV,1,A
after,ADV,2,A
afterwards,ADV,2,A
ago,ADV,2,A
all,ADV,2,A
almost,ADV,2,A
already,ADV,2,A
anymore,ADV,2,A
before,ADV,2,A
ahead,ADV,3,B
along,ADV,3,B
aloud,ADV,3,B
altogether,ADV,3,B
any,ADV,3,B
backwards,ADV,3,B
alike,ADV,4,B
aside,ADV,4,B
between,ADV,5,C
abruptly,ADV,6,C
allegedly,ADV,6,C
circumstance,NOUN,4,B
alert,NOUN,5,C
army,NOUN,6,C
bundle,NOUN,6,C
casualty,NOUN,6,C
cheer,NOUN,6,C
closure,NOUN,6,C
alternate,VERB,5,C
channel,VERB,6,C
charm,VERB,6,C
coin,VERB,6,C
establishment,NOUN,5,C
contract,VERB,6,C
conclude,VERB,5,C
exam,NOUN,2,A
discipline,NOUN,6,C
expenditure,NOUN,6,C
ensure,VERB,4,B
